ACTION
24033,1
1389,1
19917,1
22516,1
2303,1
26628,1
23751,1
7793,1
20427,1
31415,1
6679,1
17489,1
12730,1
8119,1
17034,1
6065,1
2952,1
30602,1
997,1
31339,1
14833,1
11690,1
18591,1
23710,1
15445,0
1845,1
27262,1
28286,1
28822,1
13803,1
14734,1
8598,1
18817,1
12154,1
8400,1
7172,1
28423,1
11191,1
5781,1
13473,1
16588,1
17878,1
27797,1
21625,1
25024,1
20016,1
8073,0
28175,1
7541,1
31128,1
16722,1
9847,1
27794,1
29604,1
11194,1
13146,1
15618,1
162,1
24994,1
31650,1
31875,1
16009,1
27599,1
7321,1
7695,1
10660,1
7940,1
30616,1
23048,1
7144,1
29049,1
20113,1
18305,1
4812,1
7208,1
1853,1
23173,1
10406,1
16094,0
21270,1
21347,1
24079,1
4487,1
13747,1
972,1
18562,1
13371,1
11145,1
23503,1
32363,1
224,1
2971,1
20666,1
12194,1
32524,1
25586,1
30791,1
15471,1
26779,1
13521,1
31556,1
16726,1
4541,1
12446,1
21201,1
27811,1
24677,1
32308,1
11875,0
19704,1
6921,0
13501,1
30187,1
15562,1
20108,1
3288,1
25030,1
6683,1
13895,1
7888,1
27346,1
25495,1
26605,1
27092,1
16424,1
3422,1
24524,1
32235,1
23777,1
29360,1
26938,1
1881,1
280,1
27211,1
8889,1
27529,1
25476,1
4068,1
7784,1
1713,1
13559,1
14751,0
19920,1
21677,1
25952,1
23823,1
31945,1
27469,1
10943,1
29156,1
0,1
31613,1
11376,1
30752,1
6757,1
7575,1
18006,1
22412,1
5266,1
29146,1
12188,1
7353,1
15924,1
20529,1
22281,1
31761,1
17657,1
29265,1
28645,1
20283,1
3832,1
29659,0
2774,1
9514,1
4784,1
18464,1
9962,1
23039,0
30717,1
14720,1
14869,1
13673,1
21335,1
14965,1
16500,1
31278,1
9958,1
26988,1
21589,1
12964,1
27954,1
12810,1
18191,1
5840,1
19539,1
25402,1
25074,1
31668,1
23557,1
13515,1
25956,1
24483,1
19229,1
21077,1
15777,1
26470,1
16983,1
